"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
318,54,51.31347,26.57563,1.24764,20199.09055,1036.38318,414.02743,0.18111
319,54,57.35234,28.89205,1.19255,32195.94142,933.08286,268.53335,0.07055
320,55,25.31131,27.8087,1.15164,43991.21928,1164.5396,334.2537,0.05898
321,55,32.8099,17.7617,1.25274,13231.09569,1134.61983,201.75751,0.14586
322,55,35.56063,25.23829,2.42689,101197.06297,923.53645,751.73665,0.23154
323,55,33.66847,15.63922,3.29377,57199.1406,780.2987,214.0554,0.23454
324,55,36.71372,25.00283,2.43212,108455.40542,859.79302,783.93948,0.2259
325,55,46.98759,25.79382,1.27706,47436.22258,873.38349,144.99595,0.03265
326,55,57.55355,29.48252,1.34376,20954.92138,779.29974,119.88399,0.06886
327,56,15.47493,48.13385,1.30677,25526.75817,770.86864,115.04907,0.05217
328,56,20.68838,35.67709,1.54805,9502.14796,811.15985,118.45501,0.19537
329,56,24.74915,24.12401,3.23969,279585.47797,660.60587,933.0726,0.18286
330,56,25.27276,24.36777,3.37692,293998.09302,751.12913,916.58934,0.18559
331,56,25.07733,24.51631,3.14246,239227.57247,1108.6705,1084.93831,0.23283
332,56,38.60215,24.61534,1.16376,10278.59846,950.77711,159.07035,0.13347
333,56,46.99818,25.90108,1.26566,45284.89378,859.14522,121.08444,0.02928
334,56,57.58862,30.44394,1.5386,35494.99699,817.68594,134.43135,0.05793
335,57,15.43708,48.08079,1.29386,44519.82262,866.11591,151.01308,0.03674
336,57,17.91398,41.22927,1.46282,12207.49997,912.52609,142.68325,0.15864
337,57,23.60349,23.42164,2.66667,175117.34412,833.4339,758.29591,0.16258
